token,fold,pinball_q10,pinball_q25,pinball_q50,pinball_q75,pinball_q90
MEW,19,0.010030112356454294,0.018958533789060688,0.027985148662563755,0.029150962654415663,0.01781312000351405
MEW,20,0.013168322332876377,0.02180954513246451,0.016690096889597262,0.010584581088422107,0.009870455631480129
MEW,21,0.02526509362737649,0.04865977645188979,0.06748870100930905,0.049859846582637944,0.026246498287777337
MEW,22,0.01808725404971998,0.025779071479714116,0.036601592885733,0.030042892679372837,0.018035018740308464
MEW,23,0.012262589214405012,0.03182525538717103,0.03142237622561033,0.031241720786503734,0.01946734150535087
MEW,24,0.013424326608761951,0.021473210689574872,0.03256676419139969,0.020627306893181103,0.01532138091949656
MLG,0,0.02891950663800169,0.047461264978775834,0.04763025049208209,0.02714267486684171,0.02721601259643354
MLG,1,0.03607267114346427,0.062121641613629895,0.0435911861347564,0.05456047898021188,0.04500578498937172
MLG,2,0.026778551023234926,0.04810998152517113,0.04916415963885146,0.023555471372447956,0.016452691537285128
MLG,3,0.02728708931147249,0.047770535706845446,0.03733261763522847,0.015232136539199151,0.014634574294719248
MLG,4,0.03201508796422558,0.05991589903689329,0.051797010096090196,0.04542248825602824,0.033949278509893675
MLG,5,0.01575344367200417,0.021998218955228504,0.03681918196163881,0.02843531019613042,0.021055790559995125
MLG,6,0.024180226514690872,0.03992955320124094,0.032732435952900846,0.025691201540725305,0.0260707806722381
MLG,7,0.03712161321993692,0.06743917008444876,0.056061016584583324,0.03632587243604652,0.03106206171791745
MLG,8,0.03159705773923311,0.04829586029573133,0.04332931840577506,0.03818962284602162,0.02962508949733522
MLG,9,0.034092934083402145,0.06205826956058017,0.08129652386179691,0.06546946967196161,0.023954166655329654
MLG,10,0.01891919213854383,0.026155776162560058,0.024570377126647402,0.01221482973649519,0.013333095104771658
MLG,11,0.0398240357100453,0.07492107788698621,0.07583632650477906,0.024778967188867806,0.020828083206541687
MLG,12,0.03787287986052517,0.06454009521778746,0.10689279831686128,0.07699942378181898,0.038642066279859104
MLG,13,0.0409640728984293,0.06814528495442455,0.0907896419797156,0.07829653438436503,0.05985506101014606
MLG,14,0.018653893341936765,0.027859203582576667,0.03216772360794283,0.04769835748887624,0.0332710511862476
MLG,15,0.019450656212547855,0.02447344591016339,0.023277003629933835,0.0170082911368593,0.012506627610242483
MLG,16,0.028760952071110162,0.04758944391188604,0.06461747448385607,0.06723609814008115,0.03857818762130715
MLG,17,0.08211356027634106,0.1731286771274695,0.2609688107791998,0.30327078022458515,0.2620087761286006
MLG,18,0.062105626534295945,0.1429363386235869,0.2464754644407208,0.29878344892222536,0.28162410593304643
MLG,19,0.04088670808949506,0.07154965211383718,0.08019563123292775,0.06789471982607305,0.04319969206587269
MLG,20,0.030053611058185395,0.053807337221183756,0.07957372495602093,0.06333989271910943,0.021717159562410646
MLG,21,0.03302839868384908,0.05842442778524922,0.06708261621447868,0.030920173224128693,0.020086333907257736
MLG,22,0.01797970200899685,0.025608290825202634,0.053540484047163585,0.0636045236133106,0.0546593152368934
MLG,23,0.006630645053256723,0.0203796923062004,0.04300820166533689,0.04575892598048035,0.05481350844034289
MLG,24,0.01632127347334983,0.04038909987748319,0.05015160470246483,0.051858558948584425,0.03892150993192422
MOODENG,0,0.01381599466127982,0.021208598881080985,0.01924775074912852,0.01289849563107238,0.009923690753144442
MOODENG,1,0.027144061352456974,0.04467862624129801,0.049064031968783235,0.03375483096977996,0.01951293423638517
MOODENG,2,0.01409045137872659,0.028054060206616244,0.03217247496999928,0.01819584661471337,0.011015734716928354
MOODENG,3,0.01628502940828638,0.03437145450337398,0.05021469376989173,0.042817649363416276,0.024685012567368433
MOODENG,4,0.01364334404296453,0.01578975406620443,0.012246899105262582,0.013442969061680902,0.0112971824652614
MOODENG,5,0.010906661293526373,0.030639150104874082,0.032035357126091006,0.020594708932971533,0.012736435269835013
MOODENG,6,0.008721366499974693,0.007282044890967724,0.015551965690851125,0.020954121288625924,0.013125240331096038
MOODENG,7,0.01186926350789219,0.019200243370526494,0.020679639251564616,0.016137177332493025,0.008462331473197051
MOODENG,8,0.01295439774031664,0.020670431725488006,0.020084611279407614,0.01110667848294381,0.007760300816844925
MOODENG,9,0.009520485261127058,0.011239765098176572,0.015092273128088751,0.01905001419532094,0.012649598695987764
MOODENG,10,0.010003061529354233,0.012436470534680761,0.014638022480586111,0.014694670341506325,0.012105645060144816
MOODENG,11,0.019698175533005718,0.03407602164730703,0.034207509051888844,0.020367233128329037,0.014523053580320548
