token,tau,pinball
AVA,0.75,0.061879017147677774
AVA,0.95,0.03664877486446721
AVA,0.05,0.021635371594119285
AVA,0.25,0.04939880497506113
AVA,0.5,0.03648102211481462
AVA,0.75,0.08387975447309248
AVA,0.95,0.025537611839920742
AVA,0.05,0.02187878509165235
AVA,0.25,0.0789868238270692
AVA,0.5,0.05292210101607936
AVA,0.75,0.08082634113933444
AVA,0.95,0.038007849241053014
AVA,0.05,0.017735436861575794
AVA,0.25,0.0801767179282616
AVA,0.5,0.03478341137820567
AVA,0.75,0.08122560976106043
AVA,0.95,0.040123575554973645
AVA,0.05,0.01524200548178948
AVA,0.25,0.0575629893908536
AVA,0.5,0.044482471257315366
AVA,0.75,0.08949929294252527
AVA,0.95,0.04278693377865372
AVA,0.05,0.018102367919938828
AVA,0.25,0.037535622831888736
AVA,0.5,0.03359663271738859
AVA,0.75,0.07944134814658473
AVA,0.95,0.03672474887134241
AVA,0.05,0.01643919335075157
AVA,0.25,0.04935707673780212
AVA,0.5,0.022950720503102328
AVA,0.75,0.09128714552278477
AVA,0.95,0.024509051499148535
AVA,0.05,0.015955553631876132
AVA,0.25,0.02907076499282303
AVA,0.5,0.020654664671074362
AVA,0.75,0.05638059445596902
AVA,0.95,0.020681686055283092
AVA,0.05,0.015371847282319002
AVA,0.25,0.03221806545490265
AVA,0.5,0.04791911138321888
AVA,0.75,0.05570147611480697
AVA,0.95,0.014925904484561504
AVA,0.05,0.020316314298145625
AVA,0.25,0.06615617227806316
AVA,0.5,0.04716144648541167
AVA,0.75,0.031042071055722247
AVA,0.95,0.018114497329615512
AVA,0.05,0.011477851365050022
AVA,0.25,0.024897148568096817
AVA,0.5,0.07692430398660956
AVA,0.75,0.08650026316351937
AVA,0.95,0.02931249789477275
AVA,0.05,0.020971662500361764
AVA,0.25,0.05744137903767139
AVA,0.5,0.04394955173127357
AVA,0.75,0.05191489269526694
AVA,0.95,0.013361988172102065
AVA,0.05,0.017371447783838367
AVA,0.25,0.04954537698376312
AVA,0.5,0.03461508779275643
AVA,0.75,0.06662815951397852
AVA,0.95,0.04396215295193659
BOME,0.05,0.00776635915145615
BOME,0.25,0.025165128332623413
BOME,0.5,0.011284997309006775
BOME,0.75,0.014349826497667653
BOME,0.95,0.005927968672871593
BOME,0.05,0.010262499560380493
BOME,0.25,0.03567395699800053
BOME,0.5,0.024558687310402238
BOME,0.75,0.01481962960967223
BOME,0.95,0.005116120607992437
BOME,0.05,0.006391236360542351
BOME,0.25,0.02249999710427016
BOME,0.5,0.023158773852543627
BOME,0.75,0.022607139746986634
BOME,0.95,0.007842831996603043
BOME,0.05,0.018443571086853003
BOME,0.25,0.028426969335392956
BOME,0.5,0.02129106902888557
BOME,0.75,0.023846314750549033
BOME,0.95,0.007050939614543475
BOME,0.05,0.011608895046735386
BOME,0.25,0.033399006758965975
BOME,0.5,0.02387223676033659
BOME,0.75,0.012403178860775924
BOME,0.95,0.014476466648701105
BOME,0.05,0.009206714113112408
BOME,0.25,0.02516713014195485
BOME,0.5,0.03422719043909926
BOME,0.75,0.017192682482983553
BOME,0.95,0.01995276416633945
BOME,0.05,0.011697193465869844
BOME,0.25,0.02498138377281584
BOME,0.5,0.009648511631300904
BOME,0.75,0.05622224314870363
BOME,0.95,0.02042423700189867
BOME,0.05,0.021738580690376805
BOME,0.25,0.03835047157313894
BOME,0.5,0.020427321502277915
BOME,0.75,0.03358452360850386
BOME,0.95,0.011704402106979246
BOME,0.05,0.022955028263323005
BOME,0.25,0.030735809520619942
BOME,0.5,0.007378038173479033
BOME,0.75,0.021038692252108516
BOME,0.95,0.008197843792126945
BOME,0.05,0.014917737188260595
BOME,0.25,0.017483832344195722
BOME,0.5,0.010573346734890061
BOME,0.75,0.02695116565114045
BOME,0.95,0.010720979918443676
BOME,0.05,0.009091629983842414
BOME,0.25,0.016254584742407357
BOME,0.5,0.013697470449852348
BOME,0.75,0.026123168306709386
BOME,0.95,0.008087104329814639
BOME,0.05,0.011045189157997437
BOME,0.25,0.03137674540672498
BOME,0.5,0.03764181856049475
BOME,0.75,0.019253164701758165
BOME,0.95,0.006772872706637827
BOME,0.05,0.006182605225805175
BOME,0.25,0.01854480541905633
