model,token,tau,pinball_mean,pinball_se,coverage80,coverage90,width80_mean,width90_mean,n_obs
QRF_v3,MLG,0.75,0.05949676021867104,0.006354204712596227,0.6266666666666667,0.7666666666666667,0.3174082097492781,0.39478811533520397,150
QRF_v3,MLG,0.9,0.04106340790384671,0.005471245497969795,0.6266666666666667,0.7666666666666667,0.3174082097492781,0.39478811533520397,150
QRF_v3,MLG,0.95,0.025586000480846686,0.004141329939946084,0.6266666666666667,0.7666666666666667,0.3174082097492781,0.39478811533520397,150
QRF_v3,MOODENG,0.05,0.007351360892600287,0.0011646053622155785,0.7133333333333334,0.78,0.13515651040893295,0.16929218111226396,150
QRF_v3,MOODENG,0.1,0.011755891192001726,0.0012823910804460755,0.7133333333333334,0.78,0.13515651040893295,0.16929218111226396,150
QRF_v3,MOODENG,0.25,0.021135255651311392,0.001735379694786311,0.7133333333333334,0.78,0.13515651040893295,0.16929218111226396,150
QRF_v3,MOODENG,0.5,0.029996416881979744,0.0023046723792991435,0.7133333333333334,0.78,0.13515651040893295,0.16929218111226396,150
QRF_v3,MOODENG,0.75,0.025181725489343915,0.0027155057517693313,0.7133333333333334,0.78,0.13515651040893295,0.16929218111226396,150
QRF_v3,MOODENG,0.9,0.01604144941044307,0.002320738543220121,0.7133333333333334,0.78,0.13515651040893295,0.16929218111226396,150
QRF_v3,MOODENG,0.95,0.011109754385287966,0.002070784314797576,0.7133333333333334,0.78,0.13515651040893295,0.16929218111226396,150
QRF_v3,PONKE,0.05,0.007018731893931081,0.0007051029220759113,0.6733333333333333,0.8,0.15084998296544966,0.19990656169202572,150
QRF_v3,PONKE,0.1,0.011368268586134248,0.0009601835632943747,0.6733333333333333,0.8,0.15084998296544966,0.19990656169202572,150
QRF_v3,PONKE,0.25,0.019147111235726877,0.0015334386993709284,0.6733333333333333,0.8,0.15084998296544966,0.19990656169202572,150
QRF_v3,PONKE,0.5,0.03051491350507799,0.002636730475976154,0.6733333333333333,0.8,0.15084998296544966,0.19990656169202572,150
QRF_v3,PONKE,0.75,0.026356009119939603,0.003379147709302683,0.6733333333333333,0.8,0.15084998296544966,0.19990656169202572,150
QRF_v3,PONKE,0.9,0.018619356093026517,0.003389056968608882,0.6733333333333333,0.8,0.15084998296544966,0.19990656169202572,150
QRF_v3,PONKE,0.95,0.011446765824239863,0.002830782768575766,0.6733333333333333,0.8,0.15084998296544966,0.19990656169202572,150
QRF_v3,POPCAT,0.05,0.008767109232421563,0.0009386309325715546,0.64,0.7333333333333333,0.1696579338537938,0.21747865473052058,150
QRF_v3,POPCAT,0.1,0.014275965297662502,0.0013078684053145048,0.64,0.7333333333333333,0.1696579338537938,0.21747865473052058,150
QRF_v3,POPCAT,0.25,0.02476092300908,0.002169498641518925,0.64,0.7333333333333333,0.1696579338537938,0.21747865473052058,150
QRF_v3,POPCAT,0.5,0.03591409069109537,0.003616821508151224,0.64,0.7333333333333333,0.1696579338537938,0.21747865473052058,150
QRF_v3,POPCAT,0.75,0.034499272996879465,0.004257661457313155,0.64,0.7333333333333333,0.1696579338537938,0.21747865473052058,150
